Document_title,Stop number,BOL_Number,BOL_Key,Origin_Address,O_A_Key,Origin_Zip,Origin_City,Origin_State,Origin_Country,Weight_label,Weight,Dest_Address,D_A_Key,Dest_Zip,Dest_City,Dest_State,Dest_Country,B_T_Key,Bill_To_Address,Bill_To_Zip,Bill_To_City,Bill_To_State,Bill_To_Country,Pickup_Date,Delivery_Date
BaseTender-2158640,0,2158640,REF,"Amalgamated Sugar-Twin Falls 2320 Orchard Drive East Twin Falls, ID 83301",Origin,83301,TWIN FALLS,ID,USA,Weight,43197,"KAGOME INC-LOS BANOS 333 Johnson Rd Los Banos, CA 93635",Destination,93635,LOS BANOS,CA,USA,Bill To,"National Sugar Marketing Cooperative, Inc. 100 Galleria Pkwy SE Suite 1400 Atlanta, GA 30339",30339,ATLANTA,GA,USA,6/15/2023,6/16/2023
BaseTender-2158641,0,2158641,REF,"Amalgamated Sugar-Twin Falls 2320 Orchard Drive East Twin Falls, ID 83301",Origin,83301,TWIN FALLS,ID,USA,Weight,43197,"KAGOME INC-LOS BANOS 333 Johnson Rd Los Banos, CA 93635",Destination,93635,LOS BANOS,CA,USA,Bill To,"National Sugar Marketing Cooperative, Inc. 100 Galleria Pkwy SE Suite 1400 Atlanta, GA 30339",30339,ATLANTA,GA,USA,6/18/2023,6/19/2023
BaseTender-2158642,0,2158642,REF,"Amalgamated Sugar-Twin Falls 2320 Orchard Drive East Twin Falls, ID 83301",Origin,83301,TWIN FALLS,ID,USA,Weight,43197,"KAGOME INC-LOS BANOS 333 Johnson Rd Los Banos, CA 93635",Destination,93635,LOS BANOS,CA,USA,Bill To,"National Sugar Marketing Cooperative, Inc. 100 Galleria Pkwy SE Suite 1400 Atlanta, GA 30339",30339,ATLANTA,GA,USA,6/18/2023,6/19/2023
BaseTender-2158643,0,2158643,REF,"Amalgamated Sugar-Twin Falls 2320 Orchard Drive East Twin Falls, ID 83301",Origin,83301,TWIN FALLS,ID,USA,Weight,43197,"KAGOME INC-LOS BANOS 333 Johnson Rd Los Banos, CA 93635",Destination,93635,LOS BANOS,CA,USA,Bill To,"National Sugar Marketing Cooperative, Inc. 100 Galleria Pkwy SE Suite 1400 Atlanta, GA 30339",30339,ATLANTA,GA,USA,6/19/2023,6/20/2023
BaseTender-2158644,0,2158644,REF,"Amalgamated Sugar-Twin Falls 2320 Orchard Drive East Twin Falls, ID 83301",Origin,83301,TWIN FALLS,ID,USA,Weight,43197,"KAGOME INC-LOS BANOS 333 Johnson Rd Los Banos, CA 93635",Destination,93635,LOS BANOS,CA,USA,Bill To,"National Sugar Marketing Cooperative, Inc. 100 Galleria Pkwy SE Suite 1400 Atlanta, GA 30339",30339,ATLANTA,GA,USA,6/19/2023,6/20/2023
BaseTender-2158645,0,2158645,REF,"Amalgamated Sugar-Twin Falls 2320 Orchard Drive East Twin Falls, ID 83301",Origin,83301,TWIN FALLS,ID,USA,Weight,43197,"KAGOME INC-LOS BANOS 333 Johnson Rd Los Banos, CA 93635",Destination,93635,LOS BANOS,CA,USA,Bill To,"National Sugar Marketing Cooperative, Inc. 100 Galleria Pkwy SE Suite 1400 Atlanta, GA 30339",30339,ATLANTA,GA,USA,6/20/2023,6/21/2023
BaseTender-2158646,0,2158646,REF,"Spreckels Sugar-Brawley 395 West Keystone Road Brawley, CA 92227",Origin,92227,BRAWLEY,CA,USA,Weight,43775,"LEE KUM KEE (USA) FOODS-14515 14515 Don Julian Road City Of Industry, CA 91746",Destination,91746,CITY OF INDUSTRY,CA,USA,Bill To,"National Sugar Marketing Cooperative, Inc. 100 Galleria Pkwy SE Suite 1400 Atlanta, GA 30339",30339,ATLANTA,GA,USA,6/12/2023,6/12/2023
BaseTender-2158647,0,2158647,REF,"Spreckels Sugar-Brawley 395 West Keystone Road Brawley, CA 92227",Origin,92227,BRAWLEY,CA,USA,Weight,43775,"LEE KUM KEE (USA) FOODS-14515 14515 Don Julian Road City Of Industry, CA 91746",Destination,91746,CITY OF INDUSTRY,CA,USA,Bill To,"National Sugar Marketing Cooperative, Inc. 100 Galleria Pkwy SE Suite 1400 Atlanta, GA 30339",30339,ATLANTA,GA,USA,6/13/2023,6/13/2023
BaseTender-2158648,0,2158648,REF,"Spreckels Sugar-Brawley 395 West Keystone Road Brawley, CA 92227",Origin,92227,BRAWLEY,CA,USA,Weight,43775,"LEE KUM KEE (USA) FOODS-14515 14515 Don Julian Road City Of Industry, CA 91746",Destination,91746,CITY OF INDUSTRY,CA,USA,Bill To,"National Sugar Marketing Cooperative, Inc. 100 Galleria Pkwy SE Suite 1400 Atlanta, GA 30339",30339,ATLANTA,GA,USA,6/14/2023,6/14/2023
BaseTender-2158649,0,2158649,REF,"Spreckels Sugar-Brawley 395 West Keystone Road Brawley, CA 92227",Origin,92227,BRAWLEY,CA,USA,Weight,43775,"LEE KUM KEE (USA) FOODS-14515 14515 Don Julian Road City Of Industry, CA 91746",Destination,91746,CITY OF INDUSTRY,CA,USA,Bill To,"National Sugar Marketing Cooperative, Inc. 100 Galleria Pkwy SE Suite 1400 Atlanta, GA 30339",30339,ATLANTA,GA,USA,6/15/2023,6/15/2023
BaseTender-2158668,0,2158668,REF,"Spreckels Sugar-Brawley 395 West Keystone Road Brawley, CA 92227",Origin,92227,BRAWLEY,CA,USA,Weight,43775,"LEE KUM KEE (USA) FOODS-14515 14515 Don Julian Road City Of Industry, CA 91746",Destination,91746,CITY OF INDUSTRY,CA,USA,Bill To,"National Sugar Marketing Cooperative, Inc. 100 Galleria Pkwy SE Suite 1400 Atlanta, GA 30339",30339,ATLANTA,GA,USA,6/16/2023,6/16/2023
BaseTender-2158670,0,2158670,REF,"Spreckels Sugar-Brawley 395 West Keystone Road Brawley, CA 92227",Origin,92227,BRAWLEY,CA,USA,Weight,43775,"LEE KUM KEE (USA) FOODS-14515 14515 Don Julian Road City Of Industry, CA 91746",Destination,91746,CITY OF INDUSTRY,CA,USA,Bill To,"National Sugar Marketing Cooperative, Inc. 100 Galleria Pkwy SE Suite 1400 Atlanta, GA 30339",30339,ATLANTA,GA,USA,6/19/2023,6/19/2023
BaseTender-2158672,0,2158672,REF,"Spreckels Sugar-Brawley 395 West Keystone Road Brawley, CA 92227",Origin,92227,BRAWLEY,CA,USA,Weight,43775,"LEE KUM KEE (USA) FOODS-14515 14515 Don Julian Road City Of Industry, CA 91746",Destination,91746,CITY OF INDUSTRY,CA,USA,Bill To,"National Sugar Marketing Cooperative, Inc. 100 Galleria Pkwy SE Suite 1400 Atlanta, GA 30339",30339,ATLANTA,GA,USA,6/20/2023,6/20/2023
BaseTender-2158673,0,2158673,REF,"Spreckels Sugar-Brawley 395 West Keystone Road Brawley, CA 92227",Origin,92227,BRAWLEY,CA,USA,Weight,43775,"LEE KUM KEE (USA) FOODS-14515 14515 Don Julian Road City Of Industry, CA 91746",Destination,91746,CITY OF INDUSTRY,CA,USA,Bill To,"National Sugar Marketing Cooperative, Inc. 100 Galleria Pkwy SE Suite 1400 Atlanta, GA 30339",30339,ATLANTA,GA,USA,6/21/2023,6/21/2023
BaseTender-2158675,0,2158675,REF,"Spreckels Sugar-Brawley 395 West Keystone Road Brawley, CA 92227",Origin,92227,BRAWLEY,CA,USA,Weight,43775,"LEE KUM KEE (USA) FOODS-14515 14515 Don Julian Road City Of Industry, CA 91746",Destination,91746,CITY OF INDUSTRY,CA,USA,Bill To,"National Sugar Marketing Cooperative, Inc. 100 Galleria Pkwy SE Suite 1400 Atlanta, GA 30339",30339,ATLANTA,GA,USA,6/22/2023,6/22/2023
BaseTender-2158677,0,2158677,REF,"Spreckels Sugar-Brawley 395 West Keystone Road Brawley, CA 92227",Origin,92227,BRAWLEY,CA,USA,Weight,43775,"LEE KUM KEE (USA) FOODS-14515 14515 Don Julian Road City Of Industry, CA 91746",Destination,91746,CITY OF INDUSTRY,CA,USA,Bill To,"National Sugar Marketing Cooperative, Inc. 100 Galleria Pkwy SE Suite 1400 Atlanta, GA 30339",30339,ATLANTA,GA,USA,6/23/2023,6/23/2023
BaseTender-2158680,0,2158680,REF,"Spreckels Sugar-Brawley 395 West Keystone Road Brawley, CA 92227",Origin,92227,BRAWLEY,CA,USA,Weight,43775,"LEE KUM KEE (USA) FOODS-14515 14515 Don Julian Road City Of Industry, CA 91746",Destination,91746,CITY OF INDUSTRY,CA,USA,Bill To,"National Sugar Marketing Cooperative, Inc. 100 Galleria Pkwy SE Suite 1400 Atlanta, GA 30339",30339,ATLANTA,GA,USA,6/26/2023,6/26/2023
BaseTender-2159036,0,2159036,REF,"Amalgamated Sugar-Nampa 138 West Karcher Road 16201 Northside Blvd Nampa, ID 83687",Origin,83687,NAMPA,ID,USA,Weight,43775,"WAWONA FROZEN FOODS-FRESNO 2202 S Cedar Fresno, CA 93725",Destination,93725,FRESNO,CA,USA,Bill To,"National Sugar Marketing Cooperative, Inc. 100 Galleria Pkwy SE Suite 1400 Atlanta, GA 30339",30339,ATLANTA,GA,USA,6/7/2023,6/9/2023
BaseTender-2159248,0,2159248,REF,"Amalgamated Sugar-Nampa 138 West Karcher Road 16201 Northside Blvd Nampa, ID 83687",Origin,83687,NAMPA,ID,USA,Weight,43775,"KROGER IND-LA HABRA 850 S Cypress St Leslie St Entrance La Habra, CA 90631",Destination,90631,LA HABRA,CA,USA,Bill To,"National Sugar Marketing Cooperative, Inc. 100 Galleria Pkwy SE Suite 1400 Atlanta, GA 30339",30339,ATLANTA,GA,USA,6/13/2023,6/15/2023
BaseTender-2159524,0,2159524,REF,"Amalgamated Sugar-Nampa 138 West Karcher Road 16201 Northside Blvd Nampa, ID 83687",Origin,83687,NAMPA,ID,USA,Weight,43775,"KROGER IND/VERACITY-CLEARFIELD FREEPORT CENTER bldg E7 Clearfield, UT 84016",Destination,84016,CLEARFIELD,UT,USA,Bill To,"National Sugar Marketing Cooperative, Inc. 100 Galleria Pkwy SE Suite 1400 Atlanta, GA 30339",30339,ATLANTA,GA,USA,6/15/2023,6/16/2023
BaseTender-2159526,0,2159526,REF,"Amalgamated Sugar-Nampa 138 West Karcher Road 16201 Northside Blvd Nampa, ID 83687",Origin,83687,NAMPA,ID,USA,Weight,43775,"KROGER IND/VERACITY-CLEARFIELD FREEPORT CENTER bldg E7 Clearfield, UT 84016",Destination,84016,CLEARFIELD,UT,USA,Bill To,"National Sugar Marketing Cooperative, Inc. 100 Galleria Pkwy SE Suite 1400 Atlanta, GA 30339",30339,ATLANTA,GA,USA,6/21/2023,6/22/2023
BaseTender-2159533,0,2159533,REF,"Amalgamated Sugar-Nampa 138 West Karcher Road 16201 Northside Blvd Nampa, ID 83687",Origin,83687,NAMPA,ID,USA,Weight,43775,"KROGER IND/VERACITY-CLEARFIELD FREEPORT CENTER bldg E7 Clearfield, UT 84016",Destination,84016,CLEARFIELD,UT,USA,Bill To,"National Sugar Marketing Cooperative, Inc. 100 Galleria Pkwy SE Suite 1400 Atlanta, GA 30339",30339,ATLANTA,GA,USA,6/18/2023,6/19/2023
BaseTender-2159644,0,2159644,REF,"Amalgamated Sugar-Nampa 138 West Karcher Road 16201 Northside Blvd Nampa, ID 83687",Origin,83687,NAMPA,ID,USA,Weight,41530,"SAFEWAY RETAIL/NORCAL-TRACY 16900 West Schulte Rd Tracy, CA 95304",Destination,95304,TRACY,CA,USA,Bill To,"National Sugar Marketing Cooperative, Inc. 100 Galleria Pkwy SE Suite 1400 Atlanta, GA 30339",30339,ATLANTA,GA,USA,6/11/2023,6/12/2023
BaseTender-2159920,0,2159920,REF,"Amalgamated Sugar-Nampa 138 West Karcher Road 16201 Northside Blvd Nampa, ID 83687",Origin,83687,NAMPA,ID,USA,Weight,42785.97,"ALBERTSONS-TOLLESON 400 S 99th Ave Tolleson, AZ 85353",Destination,86353,TOLLESON,AZ,USA,Bill To,"National Sugar Marketing Cooperative, Inc. 100 Galleria Pkwy SE Suite 1400 Atlanta, GA 30339",30339,ATLANTA,GA,USA,8/28/2023,8/30/2023
BaseTender-2159966,0,2159966,REF,"Amalgamated Sugar-Nyssa 105 East Main Street Nyssa, OR 97913",Origin,97913,NYSSA,OR,USA,Weight,42882.97,"PLUSH PIPPIN PIE-KENT 21331 88TH PLACE S BUILDING F Kent, WA 98031",Destination,98031,KENT,WA,USA,Bill To,"National Sugar Marketing Cooperative, Inc. 100 Galleria Pkwy SE Suite 1400 Atlanta, GA 30339",30339,ATLANTA,GA,USA,6/14/2023,6/15/2023
BaseTender-2159967,0,2159967,REF,"Amalgamated Sugar-Nyssa 105 East Main Street Nyssa, OR 97913",Origin,97913,NYSSA,OR,USA,Weight,42882.97,"PLUSH PIPPIN PIE-KENT 21331 88TH PLACE S BUILDING F Kent, WA 98031",Destination,98031,KENT,WA,USA,Bill To,"National Sugar Marketing Cooperative, Inc. 100 Galleria Pkwy SE Suite 1400 Atlanta, GA 30339",30339,ATLANTA,GA,USA,6/20/2023,6/21/2023
BaseTender-2159968,0,2159968,REF,"Amalgamated Sugar-Nyssa 105 East Main Street Nyssa, OR 97913",Origin,97913,NYSSA,OR,USA,Weight,42882.97,"PLUSH PIPPIN PIE-KENT 21331 88TH PLACE S BUILDING F Kent, WA 98031",Destination,98031,KENT,WA,USA,Bill To,"National Sugar Marketing Cooperative, Inc. 100 Galleria Pkwy SE Suite 1400 Atlanta, GA 30339",30339,ATLANTA,GA,USA,6/27/2023,6/28/2023
BaseTender-2159969,0,2159969,REF,"Amalgamated Sugar-Nyssa 105 East Main Street Nyssa, OR 97913",Origin,97913,NYSSA,OR,USA,Weight,42882.97,"PLUSH PIPPIN PIE-KENT 21331 88TH PLACE S BUILDING F Kent, WA 98031",Destination,98031,KENT,WA,USA,Bill To,"National Sugar Marketing Cooperative, Inc. 100 Galleria Pkwy SE Suite 1400 Atlanta, GA 30339",30339,ATLANTA,GA,USA,6/28/2023,6/29/2023
BaseTender-2159974,0,2159974,REF,"Amalgamated Sugar-Nampa 138 West Karcher Road 16201 Northside Blvd Nampa, ID 83687",Origin,83687,NAMPA,ID,USA,Weight,43775,"BAKEMARK/KRISPY KREME-SAN FRAN 32621 Central Ave San Francisco, CA 94587",Destination,94587,SAN FRANCISCO,CA,USA,Bill To,"National Sugar Marketing Cooperative, Inc. 100 Galleria Pkwy SE Suite 1400 Atlanta, GA 30339",30339,ATLANTA,GA,USA,9/28/2023,9/29/2023
BaseTender-2159976,0,2159976,REF,"Amalgamated Sugar-Nampa 138 West Karcher Road 16201 Northside Blvd Nampa, ID 83687",Origin,83687,NAMPA,ID,USA,Weight,43775,"BAKEMARK/KRISPY KREME-SAN FRAN 32621 Central Ave San Francisco, CA 94587",Destination,94587,SAN FRANCISCO,CA,USA,Bill To,"National Sugar Marketing Cooperative, Inc. 100 Galleria Pkwy SE Suite 1400 Atlanta, GA 30339",30339,ATLANTA,GA,USA,8/3/2023,8/4/2023
BaseTender-2159978,0,2159978,REF,"Amalgamated Sugar-Nampa 138 West Karcher Road 16201 Northside Blvd Nampa, ID 83687",Origin,83687,NAMPA,ID,USA,Weight,43775,"BAKEMARK/KRISPY KREME-SAN FRAN 32621 Central Ave San Francisco, CA 94587",Destination,94587,SAN FRANCISCO,CA,USA,Bill To,"National Sugar Marketing Cooperative, Inc. 100 Galleria Pkwy SE Suite 1400 Atlanta, GA 30339",30339,ATLANTA,GA,USA,9/7/2023,9/8/2023
BaseTender-2159978,0,2159979,REF,"Amalgamated Sugar-Nampa 138 West Karcher Road 16201 Northside Blvd Nampa, ID 83687",Origin,83687,NAMPA,ID,USA,Weight,43775,"BAKEMARK/KRISPY KREME-SAN FRAN 32621 Central Ave San Francisco, CA 94587",Destination,94587,SAN FRANCISCO,CA,USA,Bill To,"National Sugar Marketing Cooperative, Inc. 100 Galleria Pkwy SE Suite 1400 Atlanta, GA 30339",30339,ATLANTA,GA,USA,7/13/2023,7/14/2023
BaseTender-2159980,0,2159980,REF,"Amalgamated Sugar-Nampa 138 West Karcher Road 16201 Northside Blvd Nampa, ID 83687",Origin,83687,NAMPA,ID,USA,Weight,43775,"BAKEMARK/KRISPY KREME-SAN FRAN 32621 Central Ave San Francisco, CA 94587",Destination,94587,SAN FRANCISCO,CA,USA,Bill To,"National Sugar Marketing Cooperative, Inc. 100 Galleria Pkwy SE Suite 1400 Atlanta, GA 30339",30339,ATLANTA,GA,USA,8/24/2023,8/25/2023
BaseTender-2160224,0,2160224,REF,"Amalgamated Sugar-Nampa 138 West Karcher Road 16201 Northside Blvd Nampa, ID 83687",Origin,83687,NAMPA,ID,USA,Weight,43775,"BAKEMARK USA-RANCHO CORDOVA 11350 Sunrise Park Rancho Cordova, CA 95742",Destination,95742,RANCHO CORDOVA,CA,USA,Bill To,"National Sugar Marketing Cooperative, Inc. 100 Galleria Pkwy SE Suite 1400 Atlanta, GA 30339",30339,ATLANTA,GA,USA,7/2/2023,7/3/2023
BaseTender-2160225,0,2160225,REF,"Amalgamated Sugar-Nampa 138 West Karcher Road 16201 Northside Blvd Nampa, ID 83687",Origin,83687,NAMPA,ID,USA,Weight,43775,"BAKEMARK USA-RANCHO CORDOVA 11350 Sunrise Park Rancho Cordova, CA 95742",Destination,95742,RANCHO CORDOVA,CA,USA,Bill To,"National Sugar Marketing Cooperative, Inc. 100 Galleria Pkwy SE Suite 1400 Atlanta, GA 30339",30339,ATLANTA,GA,USA,7/9/2023,7/10/2023
BaseTender-2160232,0,2160232,REF,"Amalgamated Sugar-Nampa 138 West Karcher Road 16201 Northside Blvd Nampa, ID 83687",Origin,83687,NAMPA,ID,USA,Weight,43764,"TOPCO/STATER BROS-SAN BERNARDI 311 S Tippecanoe Ave San Bernardino, CA 92408",Destination,92408,SAN BERNADINO,CA,USA,Bill To,"National Sugar Marketing Cooperative, Inc. 100 Galleria Pkwy SE Suite 1400 Atlanta, GA 30339",30339,ATLANTA,GA,USA,6/18/2023,6/20/2023
BaseTender-2160233,0,2160233,REF,"Amalgamated Sugar-Brighton 701 North Main Street Brighton, CO 80601",Origin,80601,BRIGHTON,CO,USA,Weight,42082,"TOPCO/AFFILIATED FOODS-AMARILL 1401 W Farmers Ave Amarillo, TX 79118",Destination,79118,AMARILLO,TX,USA,Bill To,"National Sugar Marketing Cooperative, Inc. 100 Galleria Pkwy SE Suite 1400 Atlanta, GA 30339",30339,ATLANTA,GA,USA,6/13/2023,6/14/2023
BaseTender-2160340,0,2160340,REF,"Amalgamated Sugar-Nampa 138 West Karcher Road 16201 Northside Blvd Nampa, ID 83687",Origin,83687,NAMPA,ID,USA,Weight,43452,"ALBERTSONS-IRVINE 9300 Toledo Way Irvine, CA 92718",Destination,92718,IRVINE,CA,USA,Bill To,"National Sugar Marketing Cooperative, Inc. 100 Galleria Pkwy SE Suite 1400 Atlanta, GA 30339",30339,ATLANTA,GA,USA,6/19/2023,6/21/2023
BaseTender-2160374,0,2160374,REF,"Amalgamated Sugar-Nampa 138 West Karcher Road 16201 Northside Blvd Nampa, ID 83687",Origin,83687,NAMPA,ID,USA,Weight,42785.97,"ALBERTSONS-TOLLESON 400 S 99th Ave Tolleson, AZ 85353",Destination,85353,TOLLESON,AZ,USA,Bill To,"National Sugar Marketing Cooperative, Inc. 100 Galleria Pkwy SE Suite 1400 Atlanta, GA 30339",30339,ATLANTA,GA,USA,8/28/2023,8/30/2023
BaseTender-2160375,0,2160375,REF,"Amalgamated Sugar-Nampa 138 West Karcher Road 16201 Northside Blvd Nampa, ID 83687",Origin,83687,NAMPA,ID,USA,Weight,42785.97,"ALBERTSONS-TOLLESON 400 S 99th Ave Tolleson, AZ 85353",Destination,85353,TOLLESON,AZ,USA,Bill To,"National Sugar Marketing Cooperative, Inc. 100 Galleria Pkwy SE Suite 1400 Atlanta, GA 30339",30339,ATLANTA,GA,USA,8/28/2023,8/30/2023
BaseTender-2160376,0,2160376,REF,"Amalgamated Sugar-Nampa 138 West Karcher Road 16201 Northside Blvd Nampa, ID 83687",Origin,83687,NAMPA,ID,USA,Weight,42785.97,"ALBERTSONS-TOLLESON 400 S 99th Ave Tolleson, AZ 85353",Destination,85353,TOLLESON,AZ,USA,Bill To,"National Sugar Marketing Cooperative, Inc. 100 Galleria Pkwy SE Suite 1400 Atlanta, GA 30339",30339,ATLANTA,GA,USA,8/29/2023,8/31/2023
BaseTender-2160377,0,2160377,REF,"Amalgamated Sugar-Nampa 138 West Karcher Road 16201 Northside Blvd Nampa, ID 83687",Origin,83687,NAMPA,ID,USA,Weight,42785.97,"ALBERTSONS-TOLLESON 400 S 99th Ave Tolleson, AZ 85353",Destination,85353,TOLLESON,AZ,USA,Bill To,"National Sugar Marketing Cooperative, Inc. 100 Galleria Pkwy SE Suite 1400 Atlanta, GA 30339",30339,ATLANTA,GA,USA,8/29/2023,8/31/2023
BaseTender-2160378,0,2160378,REF,"Amalgamated Sugar-Nampa 138 West Karcher Road 16201 Northside Blvd Nampa, ID 83687",Origin,83687,NAMPA,ID,USA,Weight,42785.97,"ALBERTSONS-TOLLESON 400 S 99th Ave Tolleson, AZ 85353",Destination,85353,TOLLESON,AZ,USA,Bill To,"National Sugar Marketing Cooperative, Inc. 100 Galleria Pkwy SE Suite 1400 Atlanta, GA 30339",30339,ATLANTA,GA,USA,8/29/2023,8/31/2023
BaseTender-2160379,0,2160379,REF,"Amalgamated Sugar-Nampa 138 West Karcher Road 16201 Northside Blvd Nampa, ID 83687",Origin,83687,NAMPA,ID,USA,Weight,42785.97,"ALBERTSONS-TOLLESON 400 S 99th Ave Tolleson, AZ 85353",Destination,85353,TOLLESON,AZ,USA,Bill To,"National Sugar Marketing Cooperative, Inc. 100 Galleria Pkwy SE Suite 1400 Atlanta, GA 30339",30339,ATLANTA,GA,USA,8/27/2023,8/29/2023
BaseTender-2160380,0,2160380,REF,"Amalgamated Sugar-Nampa 138 West Karcher Road 16201 Northside Blvd Nampa, ID 83687",Origin,83687,NAMPA,ID,USA,Weight,42785.97,"ALBERTSONS-TOLLESON 400 S 99th Ave Tolleson, AZ 85353",Destination,85353,TOLLESON,AZ,USA,Bill To,"National Sugar Marketing Cooperative, Inc. 100 Galleria Pkwy SE Suite 1400 Atlanta, GA 30339",30339,ATLANTA,GA,USA,8/27/2023,8/29/2023
BaseTender-2160381,0,2160381,REF,"Amalgamated Sugar-Nampa 138 West Karcher Road 16201 Northside Blvd Nampa, ID 83687",Origin,83687,NAMPA,ID,USA,Weight,42785.97,"ALBERTSONS-TOLLESON 400 S 99th Ave Tolleson, AZ 85353",Destination,85353,TOLLESON,AZ,USA,Bill To,"National Sugar Marketing Cooperative, Inc. 100 Galleria Pkwy SE Suite 1400 Atlanta, GA 30339",30339,ATLANTA,GA,USA,8/27/2023,8/29/2023
BaseTender-2160382,0,2160382,REF,"Amalgamated Sugar-Nampa 138 West Karcher Road 16201 Northside Blvd Nampa, ID 83687",Origin,83687,NAMPA,ID,USA,Weight,42785.97,"ALBERTSONS-TOLLESON 400 S 99th Ave Tolleson, AZ 85353",Destination,85353,TOLLESON,AZ,USA,Bill To,"National Sugar Marketing Cooperative, Inc. 100 Galleria Pkwy SE Suite 1400 Atlanta, GA 30339",30339,ATLANTA,GA,USA,8/26/2023,8/28/2023
BaseTender-2160383,0,2160383,REF,"Amalgamated Sugar-Nampa 138 West Karcher Road 16201 Northside Blvd Nampa, ID 83687",Origin,83687,NAMPA,ID,USA,Weight,42785.97,"ALBERTSONS-TOLLESON 400 S 99th Ave Tolleson, AZ 85353",Destination,85353,TOLLESON,AZ,USA,Bill To,"National Sugar Marketing Cooperative, Inc. 100 Galleria Pkwy SE Suite 1400 Atlanta, GA 30339",30339,ATLANTA,GA,USA,8/26/2023,8/28/2023
BaseTender-2160384,0,2160384,REF,"Amalgamated Sugar-Nampa 138 West Karcher Road 16201 Northside Blvd Nampa, ID 83687",Origin,83687,NAMPA,ID,USA,Weight,41501.99,"ALBERTSONS-TOLLESON 400 S 99th Ave Tolleson, AZ 85353",Destination,85353,TOLLESON,AZ,USA,Bill To,"National Sugar Marketing Cooperative, Inc. 100 Galleria Pkwy SE Suite 1400 Atlanta, GA 30339",30339,ATLANTA,GA,USA,8/26/2023,8/28/2023
BaseTender-2160759,0,2160759,REF,"Amalgamated Sugar-Nyssa 105 East Main Street Nyssa, OR 97913",Origin,97913,NYSSA,OR,USA,Weight,43775,"DAWN FOOD PRODUCTS-SLC 1136 S3600 W Ste 600 Salt Lake City, UT 84104",Destination,84104,SALT LAKE CITY,UT,USA,Bill To,"National Sugar Marketing Cooperative, Inc. 100 Galleria Pkwy SE Suite 1400 Atlanta, GA 30339",30339,ATLANTA,GA,USA,6/15/2023,6/16/2023
BaseTender-2160765,0,2160765,REF,"Amalgamated Sugar-Nampa 138 West Karcher Road 16201 Northside Blvd Nampa, ID 83687",Origin,83687,NAMPA,ID,USA,Weight,43775,"Central California Baking Co. 701 Industrial Drive Exeter, CA 93221",Destination,93221,EXETER,CA,USA,Bill To,"National Sugar Marketing Cooperative, Inc. 100 Galleria Pkwy SE Suite 1400 Atlanta, GA 30339",30339,ATLANTA,GA,USA,6/12/2023,6/14/2023
BaseTender-2160794,0,2160794,REF,"Amalgamated Sugar-Nampa 138 West Karcher Road 16201 Northside Blvd Nampa, ID 83687",Origin,83687,NAMPA,ID,USA,Weight,43775,"DAWN FOOD PRODUCTS-SLC 1136 S3600 W Ste 600 Salt Lake City, UT 84104",Destination,84104,SALT LAKE CITY,UT,USA,Bill To,"National Sugar Marketing Cooperative, Inc. 100 Galleria Pkwy SE Suite 1400 Atlanta, GA 30339",30339,ATLANTA,GA,USA,6/25/2023,6/26/2023
BaseTender-2160795,0,2160795,REF,"Amalgamated Sugar-Nampa 138 West Karcher Road 16201 Northside Blvd Nampa, ID 83687",Origin,83687,NAMPA,ID,USA,Weight,43775,"DAWN FOOD PRODUCTS-SLC 1136 S3600 W Ste 600 Salt Lake City, UT 84104",Destination,84104,SALT LAKE CITY,UT,USA,Bill To,"National Sugar Marketing Cooperative, Inc. 100 Galleria Pkwy SE Suite 1400 Atlanta, GA 30339",30339,ATLANTA,GA,USA,7/11/2023,7/12/2023
BaseTender-2160821,0,2160821,REF,"NSM-Grand Prairie 721 Parkway Drive Grand Prairie, TX 75051",Origin,75051,GRAND PRAIRIE,TX,USA,Weight,44532,"PEPSI/QUAKER OATS-GRAND PRAIRI 803 W North Carrier Parkway Grand Prairie, TX 75050",Destination,75050,GRAND PRAIRIE,TX,USA,Bill To,"National Sugar Marketing Cooperative, Inc. 100 Galleria Pkwy SE Suite 1400 Atlanta, GA 30339",30339,ATLANTA,GA,USA,6/13/2023,6/13/2023
BaseTender-2160822,0,2160822,REF,"NSM-Grand Prairie 721 Parkway Drive Grand Prairie, TX 75051",Origin,75051,GRAND PRAIRIE,TX,USA,Weight,44532,"PEPSI/QUAKER OATS-GRAND PRAIRI 803 W North Carrier Parkway Grand Prairie, TX 75050",Destination,75050,GRAND PRAIRIE,TX,USA,Bill To,"National Sugar Marketing Cooperative, Inc. 100 Galleria Pkwy SE Suite 1400 Atlanta, GA 30339",30339,ATLANTA,GA,USA,6/13/2023,6/13/2023
BaseTender-2160823,0,2160823,REF,"NSM-Grand Prairie 721 Parkway Drive Grand Prairie, TX 75051",Origin,75051,GRAND PRAIRIE,TX,USA,Weight,44532,"PEPSI/QUAKER OATS-GRAND PRAIRI 803 W North Carrier Parkway Grand Prairie, TX 75050",Destination,75050,GRAND PRAIRIE,TX,USA,Bill To,"National Sugar Marketing Cooperative, Inc. 100 Galleria Pkwy SE Suite 1400 Atlanta, GA 30339",30339,ATLANTA,GA,USA,6/13/2023,6/13/2023
